Supplier Name,Zip Code,Department,Amount
WEST GROUP,60197,Police,7000.00
1335 PICCARD LLC,22192,Non-Departmental Accounts,440180.46
1420203 ONTARIO LTD,53066,Environmental Protection,116038.93
1420203 ONTARIO LTD,M9V,Environmental Protection,2065.67
360 WESTWOOD CTR II LLC,06150,Liquor Control,254569.18
3M COMPANY,15250,Not Defined,78430.27
3M COMPANY,15250,Public Libraries,1890.00
4848 CORDELL AVE PARTNERS,20814,Non-Departmental Accounts,174868.22
8131 GEORGIA AVENUE LLC,20860,Housing and Community Affairs,80000.00
814 THAYER LLC,20020,Housing and Community Affairs,45000.00
911 ETC INC,98290,Non-Departmental Accounts,36373.80
A HARDY USA LTD,60018,Liquor Control,43913.91
A I G WINE & SPIRITS,11963,Liquor Control,27033.00
A I G WINE & SPIRITS,11963,Not Defined,7062.00
A MORTON THOMAS & ASSOCIATES INC,20852,Environmental Protection,39430.10
A MORTON THOMAS & ASSOCIATES INC,20852,General Services,2800.00
A VINTNERS SELECTIONS,23005,Liquor Control,2630725.59
A VINTNERS SELECTIONS,23005,Not Defined,228525.78
A WIDER CIRCLE INC,20814,Environmental Protection,20000.00
A WIDER CIRCLE INC,20814,Housing and Community Affairs,41899.98
A WIDER CIRCLE INC,20814,Non-Departmental Accounts,61455.91
A-CORP SCSI INC,22192,Correction and Rehabilitation,1180.00
A-CORP SCSI INC,22192,General Services,105942.91
AAA COMPLETE BUILDING SERVICES INC,20007,Environmental Protection,2503.50
AAA COMPLETE BUILDING SERVICES INC,20007,General Services,3154907.74
AAA COMPLETE BUILDING SERVICES INC,20007,Liquor Control,689.57
AAA COMPLETE BUILDING SERVICES INC,20007,Police,9600.00
AAA COMPLETE BUILDING SERVICES INC,20007,Transportation,112689.31
AAA COMPLETE BUILDING SERVICES INC,21297,Liquor Control,12300.46
AAA COMPLETE BUILDING SERVICES INC,21297,Transportation,797.16
AARONSON & AARONSON,20816,Liquor Control,112369.68
ABERDEEN HOUSE II,20853,Health and Human Services,19715.40
ABERDEEN HOUSE II,20868,Health and Human Services,11215.54
ABERON FUND 1 LLC,84108,Not Defined,648597.00
ABILITIES NETWORK INC,21286,Health and Human Services,34407.01
AC CRANE & SIGN SERVICE INC,20832,Transportation,122645.00
ACADEMY CHILD DEVELOPMENT,20850,Health and Human Services,26828.00
ACS STATE & LOCAL SOLUTIONS INC,20005,Police,947324.90
ACS STATE & LOCAL SOLUTIONS INC,20866,Police,4116027.30
ACS TRANSPORT SOLUTIONS INC,75284,Transportation,326767.88
ACTION DISTRIBUTING LLC,21787,Liquor Control,38735.00
ACTION TAXICAB INC,20855,Transportation,986307.46
ADVANCED BIOSCIENCE LABORATORIES INC,20895,Finance,80000.00
ADVANCED COMPUTER CONCEPTS,22102,Circuit Court,12520.00
ADVANCED COMPUTER CONCEPTS,22102,Fire and Rescue Service,450.10
ADVANCED COMPUTER CONCEPTS,22102,General Services,17121.00
ADVANCED COMPUTER CONCEPTS,22102,Health and Human Services,42032.36
ADVANCED COMPUTER CONCEPTS,22102,Housing and Community Affairs,1147.00
ADVANCED COMPUTER CONCEPTS,22102,Human Resources,352.71
ADVANCED COMPUTER CONCEPTS,22102,Not Defined,947318.00
ADVANCED COMPUTER CONCEPTS,22102,Permitting Services,55997.00
ADVANCED COMPUTER CONCEPTS,22102,Police,19532.22
ADVANCED COMPUTER CONCEPTS,22102,Public Libraries,5068.00
ADVANCED COMPUTER CONCEPTS,22102,Technology Services,617798.26
ADVANCED COMPUTER CONCEPTS,22102,Transportation,450787.00
ADVANCED HOME SUPPORT INC,20852,Health and Human Services,93760.50
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Board of Elections,13310.01
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,County Executive,133030.00
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Environmental Protection,3434.41
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Finance,311026.50
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,General Services,157321.00
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Health and Human Services,349500.00
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Human Resources,346084.00
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Liquor Control,126960.00
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Non-Departmental Accounts,822762.85
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Not Defined,18990.00
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Police,384051.50
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Public Information,35400.00
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Technology Services,3203553.73
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),20166,Transportation,101095.00
ADVANCED SOFTWARE SYSTEMS INC (ASSYST),22102,Not Defined,11700.00
ADVENTIST HEALTHCARE INC,20850,Correction and Rehabilitation,460982.74
ADVENTIST HEALTHCARE INC,20850,Health and Human Services,621980.14
ADVENTIST HEALTHCARE INC,20912,Correction and Rehabilitation,22840.24
AECOM SERVICES INC,22201,General Services,17496.80
AECOM SERVICES INC,90071,General Services,1220149.33
AEON FINANCIAL LLC,60673,Not Defined,1272703.51
AETNA,06156,Human Resources,1224475.11
AETNA,06156,Non-Departmental Accounts,142146.96
AFFILIATED SANTE GROUP,20904,Health and Human Services,426527.82
AFRICAN IMMIGRANT AND REFUGEE FOUNDATION INC,20901,Health and Human Services,12541.29
AFRICAN IMMIGRANT AND REFUGEE FOUNDATION INC,20901,Non-Departmental Accounts,58835.89
AHC MARYLAND HOMEOWNERSHIP LLC,22201,Housing and Community Affairs,38192.76
AIR SCHOTT,20041,Liquor Control,1238997.51
AIR SCHOTT,20041,Not Defined,24751.92
AIRGAS EAST INC,03079,General Services,12775.40
AIRGAS EAST INC,03079,Not Defined,5283.11
AIRGAS EAST INC,19182,Fire and Rescue Service,9189.92
ALAN K BENNETT,20854,State's Attorney,25001.60
ALAN TYE & ASSOCIATES LC,22031,General Services,84403.29
ALL CAR LEASING INC,20707,Recreation,25642.21
ALLEGHENY POWER,15601,Fire and Rescue Service,5617.56
ALLEGHENY POWER,15601,Health and Human Services,17486.66
ALLEGHENY POWER,15601,Transportation,100330.25
ALLEGHENY POWER,15606,Fire and Rescue Service,6711.81
ALLEGHENY POWER,15606,Health and Human Services,1770.07
ALLEGHENY POWER,15606,Liquor Control,9563.50
ALLEGHENY POWER,15606,Non-Departmental Accounts,2212401.25
ALLEGHENY POWER,15606,Recreation,69934.47
ALLEGHENY POWER,15606,Transportation,75372.84
ALLIANCE FOR WORKPLACE EXCELLENCE,20818,Human Resources,390.00
ALLIANCE FOR WORKPLACE EXCELLENCE,20818,Non-Departmental Accounts,28000.00
ALLIANT INSURANCE SERVICES INC,92658,Finance,473000.00
ALLIANT INSURANCE SERVICES INC,92658,Fire and Rescue Service,1865185.00
ALLIEDBARTON SECURITY SERVICES LLC,19182,Health and Human Services,4748.04
ALLIEDBARTON SECURITY SERVICES LLC,19182,Police,483562.87
ALLIEDBARTON SECURITY SERVICES LLC,19182,Sheriff,603096.08
ALLIEDBARTON SECURITY SERVICES LLC,21236,Sheriff,9409.88
ALPHA CONSTRUCTION & ENGINEERING CORPORATION,20166,Transportation,412264.28
ALSTAR MEDICAL TRANSPORTATION INC,20706,Transportation,28507.00
ALVIN MCINTYRE EHRLICH,20817,County Attorney,106342.30
ALZHEIMERS ASSOCIATION,22030,Health and Human Services,55076.78
AMATO INDUSTRIES/AMCHLOR,20910,Recreation,108304.15
AMDA ENTERPRISES INC,01095,Community Engagement Cluster,1705.99
AMDA ENTERPRISES INC,01095,County Council,2804.79
AMDA ENTERPRISES INC,01095,County Executive,8299.22
AMDA ENTERPRISES INC,01095,Economic Development,855.00
AMDA ENTERPRISES INC,01095,Emergency Management and Homeland Security,5310.00
AMDA ENTERPRISES INC,01095,Fire and Rescue Service,1480.48
AMDA ENTERPRISES INC,01095,Health and Human Services,7919.50
AMDA ENTERPRISES INC,01095,Human Resources,2568.00
AMDA ENTERPRISES INC,01095,Non-Departmental Accounts,1925.00
AMDA ENTERPRISES INC,01095,Restricted Donations,5263.52
AMDA ENTERPRISES INC,01095,Transportation,9425.06
AMERICAN AIRLINES,07188,Sheriff,31882.32
AMERICAN BEVERAGE MARKETERS,47151,Liquor Control,66307.37
AMERICAN EXPRESS,33332,Board of Appeals,9449.31
AMERICAN EXPRESS,33332,Board of Elections,40790.68
AMERICAN EXPRESS,33332,Circuit Court,71777.79
AMERICAN EXPRESS,33332,Commission for Women,1165.96
AMERICAN EXPRESS,33332,Community Engagement Cluster,25716.01
AMERICAN EXPRESS,33332,Community Use of Public Facilities,2605.02
AMERICAN EXPRESS,33332,Consumer Protection,970.43
AMERICAN EXPRESS,33332,Correction and Rehabilitation,68900.69
AMERICAN EXPRESS,33332,County Attorney,5042.73
AMERICAN EXPRESS,33332,County Executive,50612.53
AMERICAN EXPRESS,33332,Debt Service,2695.00
AMERICAN EXPRESS,33332,Economic Development,29408.99
AMERICAN EXPRESS,33332,Emergency Management and Homeland Security,13726.18
AMERICAN EXPRESS,33332,Environmental Protection,64325.86
AMERICAN EXPRESS,33332,Ethics Commission,992.21
AMERICAN EXPRESS,33332,Finance,28265.14
AMERICAN EXPRESS,33332,Fire and Rescue Service,382337.81
AMERICAN EXPRESS,33332,General Services,561403.70
AMERICAN EXPRESS,33332,Health and Human Services,358117.59
AMERICAN EXPRESS,33332,Housing and Community Affairs,447.90
AMERICAN EXPRESS,33332,Human Resources,16126.88
AMERICAN EXPRESS,33332,Human Rights,11407.52
AMERICAN EXPRESS,33332,Inspector General,7319.47
AMERICAN EXPRESS,33332,Intergovernmental Relations,7381.62
AMERICAN EXPRESS,33332,Legislative Oversight,413.40
AMERICAN EXPRESS,33332,Liquor Control,105106.45
AMERICAN EXPRESS,33332,Management and Budget,5558.02
AMERICAN EXPRESS,33332,Merit System Protection Board,1289.31
AMERICAN EXPRESS,33332,Non-Departmental Accounts,29098.44
AMERICAN EXPRESS,33332,Not Defined,1372985.34
AMERICAN EXPRESS,33332,Permitting Services,81763.74
AMERICAN EXPRESS,33332,Police,890891.43
AMERICAN EXPRESS,33332,Public Information,32751.60
AMERICAN EXPRESS,33332,Public Libraries,23293.27
AMERICAN EXPRESS,33332,Recreation,106848.13
AMERICAN EXPRESS,33332,Regional Services Centers,1931.33
AMERICAN EXPRESS,33332,Restricted Donations,396.98
AMERICAN EXPRESS,33332,Sheriff,108808.14
AMERICAN EXPRESS,33332,State's Attorney,31608.40
AMERICAN EXPRESS,33332,Technology Services,48247.92
AMERICAN EXPRESS,33332,Transportation,13247.35
AMERICAN EXPRESS,33332,Zoning and Administrative Hearings,7645.26
AMERICAN FIDELITY TRADING,22091,Liquor Control,31686.50
AMERICAN FIDELITY TRADING,22091,Not Defined,3554.00
AMERICAN FILM INSTITUTE,20910,Non-Departmental Accounts,506100.00
AMERICAN SEATING CO,49504,General Services,158934.90
AMERICAN SEATING CO,60674,General Services,9983.55
AMERICARE MEDICAL TRANSPORT INC,20879,Transportation,37965.00
AMERICAS CHARITIES,20152,Not Defined,226351.77
AMERIGAS INC,15250,Fire and Rescue Service,2246.30
AMERIGAS INC,15250,Non-Departmental Accounts,19577.66
AMERIGAS INC,15250,Police,65.00
AMERIGAS INC,15250,Recreation,48398.35
AMERIGAS INC,15250,Transportation,4365.20
ANCHOR CONSTRUCTION CORP,20018,Not Defined,-33193.60
ANCHOR CONSTRUCTION CORP,20018,Transportation,777477.80
ANCHOR TOWING,20882,Police,41686.50
ANDERSON TREE SERVICE INC,20837,Transportation,74761.47
ANHEUSER BUSCH INC,63118,Liquor Control,10263055.94
ANHEUSER BUSCH INC,63118,Not Defined,1367205.16
ANTONIO T MENDEZ DBA TOBY MENDEZ STUDIOS,21758,General Services,103555.00
